satellite,instrument,satellite-description,instrument-description
fy-4e,sep-fields,Feng-Yun - 4E (FY-4E),Space Environment Package - fields (SEP-fields)
fy-4e,sep-heps,Feng-Yun - 4E (FY-4E),Space Environment Package / High Energy Particles Sensor (SEP/HEPS)
fy-4e,sep-leps,Feng-Yun - 4E (FY-4E),Space Environment Package / Low Energy Particles Sensor (SEP/LEPS)
fy-4e,sep-meps,Feng-Yun - 4E (FY-4E),Space Environment Package / Medium Energy Particles Sensor (SEP/MEPS)
fy-4e,suvi,Feng-Yun - 4E (FY-4E),Solar Extreme-UltraViolet Imager (SUVI)
fy-4e,sxeuv,Feng-Yun - 4E (FY-4E),Solar X-EUV imaging telescope (SXEUV)
fy-4e,sxus,Feng-Yun - 4E (FY-4E),Solar X-EUV Irradiance Sensor (SXUS)
galileo,emu,Galileo,Environmental Monitor Unit (EMU)
geo-kompsat-2a,ksem-cm,Geostationary Korea Multi-Purpose Satellite - 2A (GEO-KOMPSAT-2A),Korean Space wEather Monitor / Charging Monitor (KSEM/CM)
geo-kompsat-2a,ksem-mag,Geostationary Korea Multi-Purpose Satellite - 2A (GEO-KOMPSAT-2A),Korean Space wEather Monitor / Magnetometer. ESA acronym is SOSMAG. (KSEM/MAG)
geo-kompsat-2a,ksem-pd,Geostationary Korea Multi-Purpose Satellite - 2A (GEO-KOMPSAT-2A),Korea Space wEather Monitor / Particle Detector (KSEM/PD)
goes-14,sem-eps,Geostationary Operational Environmental Satellite - 14 (GOES-14),SEM / Energetic Particles Sensor (SEM/EPS)
goes-14,sem-hepad,Geostationary Operational Environmental Satellite - 14 (GOES-14),SEM / High Energy Proton and Alpha Particles Detector (SEM/HEPAD)
goes-14,sem-mag,Geostationary Operational Environmental Satellite - 14 (GOES-14),SEM / Magnetometer (SEM/MAG)
goes-14,sem-xrs-euv,Geostationary Operational Environmental Satellite - 14 (GOES-14),SEM / X-Ray Sensor - Extreme Ultra-Violet Sensor (SEM/XRS-EUV)
